nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x
0.119216576,0.6065894,0.23216258,0.43549818,0.2625619,0.6636282,0.376941,0.37627998,0.42455995,0.6514115,0.46396044,0.4819936,0.50486094,0.5751274,0.5089801,0.4134775,0.5302692,0.5379603,0.7024757,0.3049548,0.6555894,0.67750466,0.8857266,0.14670989,0.86972845,0.6255502
0.11918933,0.6166829,0.22702673,0.4489045,0.25576,0.6688924,0.3667049,0.3748982,0.41578797,0.68144697,0.4344893,0.48148987,0.4881467,0.5843107,0.49363673,0.4255357,0.5121628,0.5440045,0.702433,0.3185092,0.66651964,0.6699466,0.8865571,0.15274252,0.8725404,0.6120758
0.11481981,0.61036164,0.21985492,0.45073664,0.24544203,0.6791882,0.36473873,0.38578618,0.40654638,0.69782376,0.42896652,0.49611008,0.47135752,0.6045076,0.48661992,0.44726515,0.5025851,0.55692995,0.6975972,0.33069366,0.6720228,0.65076745,0.8673998,0.17793487,0.8591051,0.5980524
0.10586528,0.61645126,0.22452962,0.48004568,0.24538982,0.7197895,0.36829594,0.42182654,0.40514904,0.72321445,0.47247225,0.49316585,0.49858412,0.621731,0.5013146,0.47662556,0.5171261,0.6007627,0.7162435,0.36023685,0.69568294,0.6567487,0.8697206,0.21686749,0.8970436,0.5964552
0.11533115,0.6085224,0.22773775,0.47664905,0.23941252,0.70150745,0.36953333,0.41729423,0.4052763,0.71996653,0.45222107,0.48595315,0.49556106,0.6244921,0.50317943,0.47131544,0.52219355,0.5962116,0.69518065,0.37820882,0.69942045,0.6213273,0.8312027,0.26698482,0.8683872,0.5763871
0.11531981,0.61574394,0.22779284,0.49342227,0.24321769,0.72320783,0.37534142,0.4304735,0.40918002,0.743054,0.4418656,0.5219476,0.5343125,0.69473135,0.49759045,0.5073979,0.5121981,0.63320315,0.7030611,0.4196347,0.7170646,0.6254151,0.8614158,0.3332845,0.8869382,0.58406126
0.1201438,0.6013743,0.2247265,0.47560567,0.2433373,0.69786,0.36842743,0.4253176,0.41599402,0.7166088,0.4413624,0.4957592,0.5305717,0.68155897,0.4729265,0.49451014,0.48215342,0.61883324,0.6879912,0.43232688,0.6990184,0.6095421,0.8784464,0.36783975,0.88246286,0.5556757
0.12085894,0.5913881,0.23090696,0.45827797,0.24647672,0.67371786,0.36250326,0.3964743,0.39236045,0.69822794,0.4199539,0.4641383,0.48448735,0.6821492,0.4841592,0.47291464,0.4901383,0.5818513,0.67631423,0.4297636,0.7077944,0.5905881,0.8803144,0.3918037,0.8981515,0.535052
0.12953295,0.5695888,0.23311502,0.43413714,0.24833152,0.6394253,0.3533129,0.36395824,0.38233453,0.6630514,0.40273917,0.4481677,0.48768914,0.67474043,0.47735578,0.4492707,0.48363113,0.56229264,0.664226,0.42061445,0.7004427,0.57825446,0.86054385,0.39673138,0.91353863,0.5098122
0.13940655,0.56791216,0.23887788,0.4339951,0.25099462,0.6320118,0.3656599,0.37860882,0.389351,0.65954155,0.4259271,0.46435934,0.4748804,0.68210864,0.48751906,0.45911238,0.49142674,0.5666545,0.6540636,0.4292872,0.68305105,0.5860582,0.8421687,0.40953606,0.87324536,0.5374932
0.1428272,0.5486315,0.24515027,0.41473863,0.26061097,0.61680853,0.38304594,0.36591607,0.41957778,0.6630001,0.4571733,0.43218574,0.47722062,0.788529,0.49057576,0.44899482,0.48907655,0.55805326,0.69589496,0.42307222,0.67587924,0.6007297,0.9147092,0.40732527,0.8715828,0.56420237
0.1442553,0.49769405,0.25109527,0.37069252,0.26602927,0.56450236,0.37834558,0.32782882,0.4319269,0.61655957,0.44156346,0.39525327,0.44118872,0.7294601,0.4993595,0.40178746,0.49864683,0.50606877,0.6998213,0.37983158,0.6753118,0.5758331,0.90486515,0.35462657,0.87324625,0.55199206
0.15107937,0.49609956,0.26160035,0.36662784,0.25664788,0.5471218,0.38016838,0.32046053,0.4070348,0.5954784,0.45761108,0.39836824,0.44531092,0.6283953,0.5112491,0.39828286,0.50989056,0.49660495,0.71390104,0.37251127,0.67775357,0.58883506,0.9060424,0.32966644,0.86840713,0.58992696
0.14336406,0.53125566,0.24361826,0.41143996,0.25486365,0.59627765,0.37149838,0.35835272,0.41271892,0.665497,0.40299445,0.44233376,0.38098145,0.78229916,0.4976978,0.4349366,0.49990958,0.5387921,0.6996495,0.41454715,0.6853542,0.6367996,0.8830844,0.3449393,0.8517898,0.66834724
0.14358015,0.4878592,0.24738613,0.3706045,0.24205953,0.5499565,0.37810153,0.3288042,0.39658788,0.5970971,0.43213844,0.39946267,0.37226564,0.72335196,0.4937265,0.40268,0.49268198,0.5064943,0.7013947,0.36352107,0.68465436,0.5983697,0.88076305,0.2810415,0.86007416,0.66673106
0.1317491,0.52111095,0.24764845,0.39966536,0.23668857,0.5775838,0.38746655,0.3590823,0.39250258,0.6229507,0.38966113,0.43692607,0.3802986,0.7166686,0.4930396,0.43534285,0.49247947,0.5336972,0.701925,0.3746248,0.68542963,0.61420685,0.8823069,0.28208202,0.848591,0.68698096
